province;red;green;blue;name;x
1;1;0;0;PROV1;x
2;2;0;0;PROV2;
3;3;0;0;PROV3;
4;4;0;0;PROV4;
5;5;0;0;PROV5;
6;6;0;0;PROV6;
7;7;0;0;PROV7;
8;8;0;0;PROV8;
9;9;0;0;PROV9;
10;10;0;0;PROV10;
11;11;0;0;PROV11;
12;12;0;0;PROV12;
13;13;0;0;PROV13;
14;14;0;0;PROV14;
15;15;0;0;PROV15;
16;16;0;0;PROV16;
17;17;0;0;PROV17;
18;18;0;0;PROV18;
19;19;0;0;PROV19;
20;20;0;0;PROV20;
21;21;0;0;PROV21;
22;22;0;0;PROV22;
23;23;0;0;PROV23;
24;24;0;0;PROV24;
25;25;0;0;PROV25;
26;26;0;0;PROV26;
27;27;0;0;PROV27;
28;28;0;0;PROV28;
29;29;0;0;PROV29;
30;30;0;0;PROV30;
31;31;0;0;PROV31;
32;32;0;0;PROV32;
33;33;0;0;PROV33;
34;34;0;0;PROV34;
35;35;0;0;PROV35;
36;36;0;0;PROV36;
37;37;0;0;PROV37;
38;38;0;0;PROV38;
39;39;0;0;PROV39;
40;40;0;0;PROV40;
41;41;0;0;PROV41;
42;42;0;0;PROV42;
43;43;0;0;PROV43;
44;44;0;0;PROV44;
45;45;0;0;PROV45;
46;46;0;0;PROV46;
47;47;0;0;PROV47;
48;48;0;0;PROV48;
49;49;0;0;PROV49;
50;50;0;0;PROV50;
51;51;0;0;PROV51;
52;52;0;0;PROV52;
53;53;0;0;PROV53;
54;54;0;0;PROV54;
55;55;0;0;PROV55;
56;56;0;0;PROV56;
57;57;0;0;PROV57;
58;58;0;0;PROV58;
59;59;0;0;PROV59;
60;60;0;0;PROV60;
61;61;0;0;PROV61;
62;62;0;0;PROV62;
63;63;0;0;PROV63;
64;64;0;0;PROV64;
65;65;0;0;PROV65;
66;66;0;0;PROV66;
67;67;0;0;PROV67;
68;68;0;0;PROV68;
69;69;0;0;PROV69;
70;70;0;0;PROV70;
71;71;0;0;PROV71;
72;72;0;0;PROV72;
73;73;0;0;PROV73;
74;74;0;0;PROV74;
75;75;0;0;PROV75;
76;76;0;0;PROV76;
