province;x;y
1;7500.00;3250.00
2;4589.19;539.87
3;6372.97;572.26
4;6113.51;712.62
5;7313.51;280.73
6;7686.49;248.34
7;10329.73;302.33
8;10491.89;291.53
9;11643.24;367.11
10;11837.84;626.25
11;11870.27;431.89
12;12097.30;485.88
13;12308.11;302.33
14;12324.32;572.26
15;2724.32;723.42
16;3048.65;906.98
17;7848.65;669.44
18;11108.11;1058.14
19;11286.49;1911.13
20;10718.92;356.31
21;11902.70;1176.91
22;11383.78;593.85
23;10913.51;1587.21
24;10540.54;755.81
25;11383.78;1382.06
26;11562.16;906.98
27;10897.30;583.06
28;10702.70;1252.49
29;10994.59;1813.95
30;11043.24;1338.87
31;11594.59;1176.91
32;11237.84;788.21
33;10524.32;518.27
34;10735.14;939.37
35;11886.49;842.19
36;12210.81;766.61
37;12064.86;852.99
38;12194.59;950.17
39;12340.54;701.83
40;12356.76;842.19
41;12454.05;723.42
42;12502.70;669.44
43;12535.14;799.00
44;12632.43;982.56
45;12843.24;1025.75
46;7475.68;1166.11
47;7929.73;1220.10
48;8059.46;1133.72
49;9681.08;1166.11
50;10751.35;2019.10
51;8464.86;680.23
52;10102.70;356.31
53;8497.30;1371.26
54;9810.81;1781.56
55;10459.46;1500.83
56;9308.11;658.64
57;10329.73;885.38
58;8902.70;1058.14
59;9194.59;1500.83
60;9908.11;626.25
61;10345.95;1835.55
62;10005.41;1533.22
63;8772.97;518.27
64;8513.51;1155.32
65;10183.78;1198.50
66;9551.35;863.79
67;8805.41;723.42
68;10232.43;550.66
69;9989.19;928.57
70;9243.24;1241.69
71;10654.05;1749.17
72;8821.62;1306.48
73;10410.81;2062.29
74;9600.00;1457.64
75;9178.38;874.58
76;9681.08;507.48
77;10491.89;1155.32
78;9551.35;1727.57
79;8578.38;906.98
80;11724.32;1479.24
81;12000.00;1533.22
82;12113.51;1360.47
83;12389.19;1490.03
84;12243.24;1176.91
85;12681.08;1414.45
86;12989.19;1468.44
87;14254.05;1414.45
88;1718.92;1889.53
89;2205.41;1554.82
90;3567.57;1641.20
91;4686.49;1101.33
92;2756.76;2332.23
93;2432.43;1133.72
94;4329.73;2040.70
95;3551.35;1025.75
96;3486.49;2127.08
97;2870.27;1857.14
98;4345.95;1511.63
99;2918.92;1306.48
100;4086.49;1101.33
101;3875.68;1867.94
102;3275.68;1911.13
103;3681.08;1252.49
104;3048.65;2213.46
105;3032.43;1608.80
106;2691.89;2127.08
107;4427.03;1241.69
108;3940.54;1490.03
109;2610.81;1295.68
110;2870.27;1122.92
111;3291.89;1176.91
112;4232.43;1705.98
113;3875.68;2062.29
114;3275.68;1403.65
115;4232.43;1824.75
116;4329.73;1867.94
117;4427.03;1911.13
118;4572.97;1803.16
119;5821.62;1619.60
120;5935.14;2742.52
121;6600.00;831.40
122;4572.97;1986.71
123;6924.32;1965.12
124;4783.78;1209.30
125;5367.57;2267.44
126;6681.08;1403.65
127;5675.68;1112.13
128;5027.03;1673.59
129;6421.62;1889.53
130;6227.03;1090.53
131;5789.19;2483.39
